phone_number,filter_reason,confidence
+18000000000,toll_free,99%
+18002035182,toll_free,99%
+18002047008,toll_free,99%
+18002156195,toll_free,99%
+18002211212,toll_free,99%
+18002217370,toll_free,99%
+18002221871,toll_free,99%
+18002224357,toll_free,99%
+18002274214,toll_free,99%
+18002282100,toll_free,99%
+18002288324,toll_free,99%
+18002336111,toll_free,99%
+18002376977,toll_free,99%
+18002382727,toll_free,99%
+18002414057,toll_free,99%
+18002446224,toll_free,99%
+18002468357,toll_free,99%
+18002531020,toll_free,99%
+18002559982,toll_free,99%
+18002561020,toll_free,99%
+18002668722,toll_free,99%
+18002758777,toll_free,99%
+18002769939,toll_free,99%
+18002805821,toll_free,99%
+18002812679,toll_free,99%
+18002889949,toll_free,99%
+18002893355,toll_free,99%
+18002903935,toll_free,99%
+18002906106,toll_free,99%
+18002971000,toll_free,99%
+18002971605,toll_free,99%
+18002972977,toll_free,99%
+18003083355,toll_free,99%
+18003195202,toll_free,99%
+18003239135,toll_free,99%
+18003244842,toll_free,99%
+18003251551,toll_free,99%
+18003256217,toll_free,99%
+18003273547,toll_free,99%
+18003310500,toll_free,99%
+18003316483,toll_free,99%
+18003333474,toll_free,99%
+18003338655,toll_free,99%
+18003373392,toll_free,99%
+18003429816,toll_free,99%
+18003468357,toll_free,99%
+18003474934,toll_free,99%
+18003531842,toll_free,99%
+18003569377,toll_free,99%
+18003612599,toll_free,99%
+18003626033,toll_free,99%
+18003647045,toll_free,99%
+18003820613,toll_free,99%
+18003864017,toll_free,99%
+18003866624,toll_free,99%
+18003872331,toll_free,99%
+18003961751,toll_free,99%
+18004149435,toll_free,99%
+18004197370,toll_free,99%
+18004212110,toll_free,99%
+18004214655,toll_free,99%
+18004264840,toll_free,99%
+18004272449,toll_free,99%
+18004277895,toll_free,99%
+18004278686,toll_free,99%
+18004303376,toll_free,99%
+18004321000,toll_free,99%
+18004323117,toll_free,99%
+18004333243,toll_free,99%
+18004359792,toll_free,99%
+18004367970,toll_free,99%
+18004383662,toll_free,99%
+18004414122,toll_free,99%
+18004429899,toll_free,99%
+18004441676,toll_free,99%
+18004456937,toll_free,99%
+18004473835,toll_free,99%
+18004483543,toll_free,99%
+18004504442,toll_free,99%
+18004549078,toll_free,99%
+18004563355,toll_free,99%
+18004573721,toll_free,99%
+18004623966,toll_free,99%
+18004633339,toll_free,99%
+18004684285,toll_free,99%
